# L/ctau      LLPfraction
1.518987e-04  9.998450e-01
1.704332e-04  9.998261e-01
1.912292e-04  9.998049e-01
2.145627e-04  9.997811e-01
2.407433e-04  9.997544e-01
2.701184e-04  9.997244e-01
3.030778e-04  9.996908e-01
3.400589e-04  9.996531e-01
3.815524e-04  9.996107e-01
4.281088e-04  9.995633e-01
4.803460e-04  9.995100e-01
5.389570e-04  9.994502e-01
5.569620e-04  9.994318e-01
6.047198e-04  9.993831e-01
6.249217e-04  9.993625e-01
6.785067e-04  9.993079e-01
7.011736e-04  9.992848e-01
7.612971e-04  9.992235e-01
7.867298e-04  9.991975e-01
8.541894e-04  9.991288e-01
8.827253e-04  9.990997e-01
9.584162e-04  9.990225e-01
9.904341e-04  9.989899e-01
1.075361e-03  9.989033e-01
1.111285e-03  9.988667e-01
1.206575e-03  9.987696e-01
1.246883e-03  9.987285e-01
1.353799e-03  9.986195e-01
1.399025e-03  9.985734e-01
1.518987e-03  9.984512e-01
1.569732e-03  9.983995e-01
1.704332e-03  9.982624e-01
1.761269e-03  9.982044e-01
1.912292e-03  9.980506e-01
1.976176e-03  9.979855e-01
2.145627e-03  9.978129e-01
2.217306e-03  9.977399e-01
2.407433e-03  9.975464e-01
2.487858e-03  9.974645e-01
2.701184e-03  9.972474e-01
2.791423e-03  9.971555e-01
3.030778e-03  9.969120e-01
3.132028e-03  9.968090e-01
3.400589e-03  9.965358e-01
3.514193e-03  9.964203e-01
3.815524e-03  9.961139e-01
3.942989e-03  9.959843e-01
4.281088e-03  9.956407e-01
4.424107e-03  9.954954e-01
4.803460e-03  9.951100e-01
4.963929e-03  9.949471e-01
5.389570e-03  9.945149e-01
5.569620e-03  9.943322e-01
6.047198e-03  9.938476e-01
6.249217e-03  9.936427e-01
6.785067e-03  9.930993e-01
7.011736e-03  9.928696e-01
7.612971e-03  9.922604e-01
7.867298e-03  9.920028e-01
8.541894e-03  9.913199e-01
8.827253e-03  9.910312e-01
9.584162e-03  9.902657e-01
9.904341e-03  9.899420e-01
1.075361e-02  9.890841e-01
1.111285e-02  9.887214e-01
1.206575e-02  9.877599e-01
1.246883e-02  9.873534e-01
1.353799e-02  9.862761e-01
1.399025e-02  9.858207e-01
1.518987e-02  9.846138e-01
1.569732e-02  9.841037e-01
1.704332e-02  9.827518e-01
1.761269e-02  9.821805e-01
1.912292e-02  9.806666e-01
1.976176e-02  9.800269e-01
2.145627e-02  9.783319e-01
2.217306e-02  9.776158e-01
2.407433e-02  9.757187e-01
2.487858e-02  9.749173e-01
2.701184e-02  9.727945e-01
2.791423e-02  9.718979e-01
3.030778e-02  9.695234e-01
